song_title,artist,length,album,genre
Ann Arbor,Fulgeance,285787,Smartbanging - EP,Dance
Ann Arbor,Larry Coryell,300897,The Restful Mind,Jazz
Ann Arbor (Jimmy Edgar Remix),Fulgeance,502787,Smartbanging - EP,Dance
Ann Arbor,Oregon,300843,Jade Muse,Jazz
In Cloudy Waters,Ann Arbor,197061,The Guest - EP,Pop
Ann Arbor,Prole,245667,Codeine Crazy - EP,Hip-Hop/Rap
Ann Arbor,Soulphiction,336527,Riot Party - EP,Electronic
Ann Arbor,The New Relics,309347,Hard Road,Rock
People Don't Know,Ann Arbor,256783,The Guest - EP,Pop
A Long Trip,Ann Arbor,721413,A Long Trip,Rock
Rhythm,Ann Arbor,138920,16 Bit,Rock
The Guest,Ann Arbor,284484,The Guest - EP,Pop
Catch the Moon,Ann Arbor,167063,The Guest - EP,Pop
A Beautiful Way,Ann Arbor,223702,The Guest - EP,Pop
Ann Arbor,Timo Elliston,171148,More Than Me (Original Motion Picture Soundtrack),Rock
Bored,Ann Arbor,190040,16 Bit,Rock
Kill the Cool Cat,Ann Arbor,179960,16 Bit,Rock
Ann Arbor,P.L.,182073,Figher 4: The EP,Hip-Hop/Rap
Ann Arbor,Soulphiction,336527,BRLN Underground,House
Ann Arbor,DJ 尚道 for Bigg Shine Records,29693,Scratch (Scratch),Hip-Hop/Rap
Filter,Ann Arbor,98000,A Long Trip,Rock
Let's Do It!,Ann Arbor,169933,16 Bit,Rock
Slow Guitar Groove,Ann Arbor,105080,A Long Trip,Rock
Beaten By Machines,Ann Arbor,56960,16 Bit,Rock
It's About Time,Ann Arbor,131360,A Long Trip,Rock
Book Tour,Ann Arbor,190427,A Long Trip,Rock
Tortilla,Ann Arbor,201507,A Long Trip,Rock
It Can't Be Wrong (New Noise),Ann Arbor,119560,16 Bit,Rock
Decimate,Ann Arbor,70920,16 Bit,Rock
Five By Five,Ann Arbor,162120,16 Bit,Rock
This Joint,Ann Arbor,220173,A Long Trip,Rock
Toy Piano,Ann Arbor,98133,A Long Trip,Rock
My Country,Ann Arbor,153040,16 Bit,Rock
Spill,Ann Arbor,315373,Ann Arbor/ Maybeshewill - Single,Rock
The Greatest Plan,Ann Arbor,159040,A Long Trip,Rock
Staple,Ann Arbor,128947,A Long Trip,Rock
Creep Diet,Ann Arbor,203027,A Long Trip,Rock
Get Yourself Happy for a While,Ann Arbor,199093,16 Bit,Rock
Ann Arbor,Larry Coryell,305027,String Alchemy: From Eclectic to Electric,New Age
Turning To the Ground,Ann Arbor,200960,16 Bit,Rock
Recursive,Ann Arbor,226760,A Long Trip,Rock
"Ann Arbor (From ""Soulmate Forever"")",Yee Dam,164493,Nostalgia,Easy Listening
Kill Minus Nine,Ann Arbor,171480,A Long Trip,Rock
Hi Ann-Arbor,Marissa Rinehart,202398,Longing Vines,Singer/Songwriter
The Foam Theater,Rome Buyce Night,377002,Ann Arbor,Prog-Rock/Art Rock
Ann Arbor,The Echo Chamber,129640,Cruising,Alternative
Ann Arbor,Soulphiction,336527,"Sound Impressions, Vol. 32",Electronic
Ann Arbor (Live),Nicholas Altobelli,154448,Folklore (2008-2012),Singer/Songwriter
Ann Arbor,Soulphiction,336527,Re:Face Issue #31,House
Ann Arbor,Soulphiction,336527,Hidden Truth #005,Electronic
